Noise Level,Repetition,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,6.10651e-05,0.0173455,0.982654,0.0887042,0.911296
0.01,0,6.13e-05,0.028302,0.971698,0.121379,0.878621
0.01,0,6.15349e-05,0.03809,0.96191,0.135434,0.864566
0.01,0,6.17697e-05,0.0531075,0.946892,0.164134,0.835866
0.01,0,6.20046e-05,0.0688407,0.931159,0.185178,0.814822
0.01,0,6.22395e-05,0.086101,0.913899,0.209269,0.790731
0.01,0,6.24743e-05,0.112115,0.887885,0.244733,0.755267
0.01,0,6.27092e-05,0.132722,0.867278,0.2617,0.7383
0.01,0,6.29441e-05,0.150243,0.849757,0.2842,0.7158
0.01,0,6.31789e-05,0.176013,0.823987,0.321854,0.678146
0.01,0,6.34138e-05,0.197791,0.802209,0.344963,0.655037
0.01,0,6.36487e-05,0.22675,0.77325,0.382258,0.617742
0.01,0,6.38835e-05,0.250271,0.749729,0.405209,0.594791
0.01,0,6.41184e-05,0.280089,0.719911,0.442102,0.557898
0.01,0,6.43533e-05,0.301914,0.698086,0.46347,0.53653
0.01,0,6.45881e-05,0.32267,0.67733,0.49316,0.50684
0.01,0,6.4823e-05,0.342582,0.657418,0.523205,0.476795
0.01,0,6.50579e-05,0.374013,0.625987,0.565981,0.434019
0.01,0,6.52927e-05,0.409734,0.590266,0.600689,0.399311
0.01,0,6.55276e-05,0.443644,0.556356,0.628964,0.371036
0.01,0,6.57625e-05,0.484539,0.515461,0.665419,0.334581
0.01,0,6.59973e-05,0.530217,0.469783,0.698975,0.301025
0.01,0,6.62322e-05,0.571698,0.428302,0.723767,0.276233
0.01,0,6.64671e-05,0.601976,0.398024,0.74186,0.25814
0.01,0,6.67019e-05,0.632531,0.367469,0.769433,0.230567
0.01,0,6.69368e-05,0.653725,0.346275,0.787752,0.212248
0.01,0,6.71717e-05,0.675432,0.324568,0.813511,0.186489
0.01,0,6.74065e-05,0.714164,0.285836,0.851151,0.148849
0.01,0,6.76414e-05,0.732645,0.267355,0.858195,0.141805
0.01,0,6.78763e-05,0.757402,0.242598,0.884376,0.115624
0.01,0,6.81111e-05,0.773039,0.226961,0.89775,0.10225
0.01,0,6.8346e-05,0.798595,0.201405,0.922907,0.0770928
0.01,0,6.85809e-05,0.814182,0.185818,0.93328,0.06672
0.01,0,6.88157e-05,0.836239,0.163761,0.952151,0.0478487
0.01,0,6.90506e-05,0.865834,0.134166,0.969214,0.0307858
0.01,0,6.92855e-05,0.894883,0.105117,0.979939,0.0200605
0.01,0,6.95203e-05,0.910536,0.0894643,0.983415,0.016585
0.01,0,6.97552e-05,0.925064,0.0749361,0.990424,0.00957643
0.01,0,6.99901e-05,0.934574,0.0654261,0.994467,0.00553293
0.01,0,7.02249e-05,0.951351,0.048649,0.999366,0.000633604
0.01,0,7.04598e-05,0.962342,0.0376582,0.999977,2.29169e-05
0.01,0,7.06947e-05,0.971771,0.0282293,0.999241,0.000758843
0.01,0,7.09295e-05,0.979112,0.0208878,0.996342,0.00365772
0.01,0,7.11644e-05,0.985663,0.0143369,0.992252,0.00774842
0.01,0,7.13992e-05,0.990072,0.00992778,0.985287,0.0147133
0.01,0,7.16341e-05,0.991546,0.00845442,0.974345,0.0256552
0.01,0,7.1869e-05,0.993511,0.00648928,0.968107,0.0318927
0.01,0,7.21038e-05,0.993657,0.00634274,0.956535,0.0434648
0.01,0,7.23387e-05,0.991472,0.00852833,0.94101,0.0589896
0.01,0,7.25736e-05,0.985961,0.0140388,0.922254,0.077746
0.01,0,7.28084e-05,0.977304,0.0226955,0.903523,0.0964775
0.01,0,7.30433e-05,0.972469,0.0275306,0.896271,0.103729
0.01,0,7.32782e-05,0.959597,0.0404031,0.863549,0.136451
0.01,0,7.3513e-05,0.947011,0.0529888,0.846012,0.153988
0.01,0,7.37479e-05,0.930608,0.069392,0.819861,0.180139
0.01,0,7.39828e-05,0.914733,0.0852671,0.799164,0.200836
0.01,0,7.42176e-05,0.887152,0.112848,0.759445,0.240555
0.01,0,7.44525e-05,0.858987,0.141013,0.736012,0.263988
0.01,0,7.46874e-05,0.838247,0.161753,0.720204,0.279796
0.01,0,7.49222e-05,0.80547,0.19453,0.678853,0.321147
0.01,0,7.51571e-05,0.779747,0.220253,0.660125,0.339875
0.01,0,7.5392e-05,0.75243,0.24757,0.629844,0.370156
0.01,0,7.56268e-05,0.715314,0.284686,0.589842,0.410158
0.01,0,7.58617e-05,0.670622,0.329378,0.552364,0.447636
0.01,0,7.60966e-05,0.634031,0.365969,0.530975,0.469025
0.01,0,7.63314e-05,0.606532,0.393468,0.509756,0.490244
0.01,0,7.65663e-05,0.566632,0.433368,0.466218,0.533782
0.01,0,7.68012e-05,0.541467,0.458533,0.450191,0.549809
0.01,0,7.7036e-05,0.51596,0.48404,0.418687,0.581313
0.01,0,7.72709e-05,0.47797,0.52203,0.37572,0.62428
0.01,0,7.75058e-05,0.455387,0.544613,0.360251,0.639749
0.01,0,7.77406e-05,0.431473,0.568527,0.329188,0.670812
0.01,0,7.79755e-05,0.39515,0.60485,0.288446,0.711554
0.01,0,7.82104e-05,0.367127,0.632873,0.267596,0.732404
0.01,0,7.84452e-05,0.328214,0.671786,0.230038,0.769962
0.01,0,7.86801e-05,0.293941,0.706059,0.207314,0.792686
0.01,0,7.8915e-05,0.258712,0.741288,0.180678,0.819322
0.01,0,7.91498e-05,0.228159,0.771841,0.159946,0.840054
0.01,0,7.93847e-05,0.203989,0.796011,0.141891,0.858109
0.01,0,7.96196e-05,0.182869,0.817131,0.122255,0.877745
0.01,0,7.98544e-05,0.165493,0.834507,0.104727,0.895273
0.01,0,8.00893e-05,0.145484,0.854516,0.083667,0.916333
0.01,0,8.03242e-05,0.119249,0.880751,0.0615833,0.938417
0.01,0,8.0559e-05,0.0939139,0.906086,0.0463588,0.953641
0.01,0,8.07939e-05,0.0703861,0.929614,0.033314,0.966686
0.01,0,8.10288e-05,0.0596064,0.940394,0.0295087,0.970491
0.01,0,8.12636e-05,0.0415128,0.958487,0.0146756,0.985324
0.01,0,8.14985e-05,0.0383953,0.961605,0.0149597,0.98504
0.01,0,8.17334e-05,0.0253403,0.97466,0.00371192,0.996288
0.01,0,8.19682e-05,0.0152659,0.984734,0.000864601,0.999135
0.01,0,8.22031e-05,0.010554,0.989446,0.000123339,0.999877
0.01,0,8.24379e-05,0.00687115,0.993129,0.000589518,0.99941
0.01,0,8.26728e-05,0.00584482,0.994155,0.00358343,0.996417
0.01,0,8.29077e-05,0.00677298,0.993227,0.00822858,0.991771
0.01,0,8.31425e-05,0.00850192,0.991498,0.013325,0.986675
0.01,0,8.33774e-05,0.0108216,0.989178,0.0197985,0.980201
0.01,0,8.36123e-05,0.016259,0.983741,0.0321529,0.967847
0.01,0,8.38471e-05,0.0244026,0.975597,0.0456873,0.954313
0.01,0,8.4082e-05,0.0316227,0.968377,0.0556473,0.944353
0.01,0,8.43169e-05,0.042559,0.957441,0.074128,0.925872
0.01,0,8.45517e-05,0.062937,0.937063,0.100712,0.899288
0.01,0,8.47866e-05,0.0794718,0.920528,0.11141,0.88859
0.01,0,8.50215e-05,0.0927143,0.907286,0.126135,0.873865
0.01,0,8.52563e-05,0.107865,0.892135,0.148924,0.851076
0.01,0,8.54912e-05,0.130805,0.869195,0.180026,0.819974
0.01,0,8.57261e-05,0.149041,0.850959,0.197094,0.802906
0.01,0,8.59609e-05,0.165596,0.834404,0.219755,0.780245
0.01,0,8.61958e-05,0.182203,0.817797,0.245313,0.754687
0.01,0,8.64307e-05,0.205363,0.794637,0.279376,0.720624
0.01,0,8.66655e-05,0.231622,0.768378,0.310043,0.689957
0.01,0,8.69004e-05,0.257449,0.742551,0.337673,0.662327
0.01,0,8.71353e-05,0.284539,0.715461,0.367969,0.632031
0.01,0,8.73701e-05,0.318718,0.681282,0.404782,0.595218
0.01,0,8.7605e-05,0.342188,0.657812,0.423637,0.576363
0.01,0,8.78399e-05,0.369211,0.630789,0.458223,0.541777
0.01,0,8.80747e-05,0.415456,0.584544,0.508474,0.491526
0.01,0,8.83096e-05,0.43779,0.56221,0.514898,0.485102
0.01,0,8.85445e-05,0.476247,0.523753,0.562049,0.437951
0.01,0,8.87793e-05,0.510413,0.489587,0.588907,0.411093
0.01,0,8.90142e-05,0.550494,0.449506,0.625377,0.374623
0.01,0,8.92491e-05,0.586391,0.413609,0.65171,0.34829
