Time abs_alpha2 abs_beta2
0.000138571 0.892623 0.0989372
0.000138806 0.91048 0.081066
0.000139041 0.926702 0.0648306
0.000139276 0.941223 0.050295
0.00013951 0.953987 0.0375165
0.000139745 0.964944 0.0265453
0.00013998 0.97405 0.0174247
0.000140215 0.98127 0.0101906
0.00014045 0.986575 0.00487137
0.000140685 0.989944 0.00148791
0.00014092 0.991365 5.34971e-05
0.000141154 0.99083 0.000573694
0.000141389 0.988343 0.00304637
0.000141624 0.983914 0.00746169
0.000141859 0.977559 0.0138022
0.000142094 0.969304 0.0220427
0.000142329 0.959182 0.0321507
0.000142564 0.947232 0.0440863
0.000142798 0.933502 0.0578022
0.000143033 0.918046 0.0732444
0.000143268 0.900924 0.0903518
0.000143503 0.882205 0.109057
0.000143738 0.861961 0.129286
0.000143973 0.840274 0.150959
0.000144208 0.817228 0.173991
0.000144443 0.792915 0.19829
0.000144677 0.76743 0.223761
0.000144912 0.740873 0.250303
0.000145147 0.71335 0.277811
0.000145382 0.684969 0.306178
0.000145617 0.655843 0.335291
0.000145852 0.626085 0.365035
0.000146087 0.595813 0.395292
0.000146321 0.565146 0.425944
0.000146556 0.534206 0.45687
0.000146791 0.503115 0.487948
0.000147026 0.471994 0.519054
0.000147261 0.440967 0.550067
0.000147496 0.410156 0.580863
0.000147731 0.379683 0.611323
0.000147966 0.349667 0.641324
0.0001482 0.320227 0.67075
0.000148435 0.291479 0.699484
0.00014867 0.263536 0.727412
0.000148905 0.236509 0.754425
0.00014914 0.210504 0.780416
0.000149375 0.185623 0.805283
0.00014961 0.161965 0.828927
0.000149844 0.139622 0.851255
0.000150079 0.118683 0.87218
0.000150314 0.0992306 0.891618
0.000150549 0.081341 0.909493
0.000150784 0.0650847 0.925735
0.000151019 0.0505259 0.94028
0.000151254 0.0377219 0.95307
0.000151489 0.026723 0.964055
0.000151723 0.0175725 0.973191
0.000151958 0.0103065 0.980442
0.000152193 0.00495359 0.985781
0.000152428 0.0015347 0.989186
0.000152663 6.32671e-05 0.990643
0.000152898 0.000545012 0.990147
0.000153133 0.00297795 0.9877
0.000153367 0.0073524 0.983311
0.000153602 0.013651 0.976998
0.000153837 0.0218489 0.968786
0.000154072 0.0319136 0.958707
0.000154307 0.0438055 0.946801
0.000154542 0.0574774 0.933115
0.000154777 0.0728754 0.917703
0.000155012 0.0899387 0.900625
0.000155246 0.1086 0.88195
0.000155481 0.128786 0.86175
0.000155716 0.150416 0.840106
0.000155951 0.173405 0.817102
0.000156186 0.197663 0.79283
0.000156421 0.223094 0.767385
0.000156656 0.249597 0.740867
0.00015689 0.277068 0.713382
0.000157125 0.305399 0.685037
0.00015736 0.334477 0.655945
0.000157595 0.364188 0.626219
0.00015783 0.394415 0.595978
0.000158065 0.425039 0.56534
0.0001583 0.455938 0.534426
0.000158535 0.486992 0.503359
0.000158769 0.518076 0.47226
0.000159004 0.54907 0.441252
0.000159239 0.57985 0.410458
0.000159474 0.610295 0.379999
0.000159709 0.640285 0.349995
0.000159944 0.669702 0.320564
0.000160179 0.698429 0.291822
0.000160413 0.726354 0.263882
0.000160648 0.753367 0.236856
0.000160883 0.77936 0.210848
0.000161118 0.804232 0.185962
0.000161353 0.827884 0.162296
0.000161588 0.850222 0.139943
0.000161823 0.87116 0.118991
0.000162058 0.890614 0.099523
0.000162292 0.908508 0.0816151
0.000162527 0.924771 0.0653381
0.000162762 0.939338 0.0507561
0.000162997 0.952154 0.0379266
0.000163232 0.963166 0.0269
0.000163467 0.972332 0.0177197
0.000163702 0.979616 0.0104219
0.000163936 0.984988 0.00503536
0.000164171 0.988428 0.0015811
0.000164406 0.989922 7.27105e-05
0.000164641 0.989465 0.000516057
0.000164876 0.987057 0.00290931
0.000165111 0.982709 0.00724294
0.000165346 0.976438 0.0134998
0.00016558 0.968269 0.0216551
0.000165815 0.958233 0.0316766
0.00016605 0.946371 0.0435247
0.000166285 0.932729 0.0571526
0.00016652 0.917361 0.0725065
0.000166755 0.900327 0.0895257
0.00016699 0.881695 0.108143
0.000167225 0.861539 0.128285
0.000167459 0.839938 0.149873
0.000167694 0.816976 0.17282
0.000167929 0.792745 0.197037
0.000168164 0.76734 0.222427
0.000168399 0.740862 0.248891
0.000168634 0.713414 0.276325
0.000168869 0.685105 0.304619
0.000169103 0.656047 0.333663
0.000169338 0.626354 0.363342
0.000169573 0.596144 0.393539
0.000169808 0.565534 0.424134
0.000170043 0.534647 0.455007
0.000170278 0.503604 0.486036
0.000170513 0.472527 0.517099
0.000170748 0.441538 0.548073
0.000170982 0.410761 0.578836
0.000171217 0.380316 0.609267
0.000171452 0.350323 0.639245
0.000171687 0.320901 0.668653
0.000171922 0.292165 0.697375
0.000172157 0.264229 0.725297
0.000172392 0.237203 0.752309
0.000172626 0.211193 0.778304
0.000172861 0.186303 0.80318
0.000173096 0.162629 0.82684
0.000173331 0.140266 0.849189
0.000173566 0.119301 0.87014
0.000173801 0.0998166 0.88961
0.000174036 0.0818905 0.907522
0.000174271 0.0655928 0.923805
0.000174505 0.0509877 0.938396
0.00017474 0.0381327 0.951237
0.000174975 0.0270784 0.962277
0.00017521 0.0178685 0.971473
0.000175445 0.010539 0.978788
0.00017568 0.0051188 0.984194
0.000175915 0.00162922 0.987669
0.000176149 8.39353e-05 0.9892
0.000176384 0.000488938 0.988781
0.000176619 0.00284255 0.986413
0.000176854 0.00713541 0.982106
0.000177089 0.0133505 0.975877
0.000177324 0.0214632 0.96775
0.000177559 0.0314415 0.957757
0.000177794 0.043246 0.945939
0.000178028 0.0568299 0.932341
0.000178263 0.0721397 0.917017
0.000178498 0.0891149 0.900027
0.000178733 0.107689 0.881439
0.000178968 0.127787 0.861326
0.000179203 0.149332 0.839768
0.000179438 0.172237 0.816848
0.000179672 0.196412 0.792659
0.000179907 0.221763 0.767294
0.000180142 0.248188 0.740855
0.000180377 0.275584 0.713444
0.000180612 0.303842 0.685172
0.000180847 0.332852 0.656148
0.000181082 0.362498 0.626488
0.000181317 0.392664 0.596308
0.000181551 0.42323 0.565727
0.000181786 0.454077 0.534866
0.000182021 0.485082 0.503847
0.000182256 0.516123 0.472792
0.000182491 0.547078 0.441823
0.000182726 0.577824 0.411062
0.000182961 0.608241 0.380631
0.000183195 0.638208 0.35065
0.00018343 0.667607 0.321237
0.000183665 0.696322 0.292507
0.0001839 0.724241 0.264575
0.000184135 0.751252 0.237549
0.00018437 0.777249 0.211537
0.000184605 0.802131 0.186642
0.00018484 0.825798 0.162961
0.000185074 0.848158 0.140587
0.000185309 0.869121 0.119609
0.000185544 0.888607 0.100109
0.000185779 0.906537 0.082165
0.000186014 0.922841 0.0658466
0.000186249 0.937455 0.0512185
0.000186484 0.950321 0.0383381
0.000186718 0.961389 0.0272563
0.000186953 0.970614 0.0180167
