Temps theta phi abs_alpha2 abs_beta2
1.01388e-07 0.0566102 0.798083 0.999199 0.000800964
1.01745e-07 0.000993312 -2.04452 1 2.46667e-07
1.02102e-07 0.0105564 1.26359 0.999972 2.78589e-05
1.02459e-07 0.0530958 1.67496 0.999295 0.000704625
1.02816e-07 0.0177931 -1.08769 0.999921 7.91469e-05
1.03173e-07 0.0721411 2.51211 0.998699 0.00130052
1.0353e-07 0.0757304 2.94393 0.998567 0.00143309
1.03887e-07 0.00356374 -2.99305 0.999997 3.17506e-06
1.04244e-07 0.0930922 0.85001 0.997835 0.00216498
1.04601e-07 0.0128916 -2.05522 0.999958 4.15476e-05
1.04958e-07 0.112595 1.4391 0.996834 0.00316607
1.05315e-07 0.0073835 1.64403 0.999986 1.3629e-05
1.05672e-07 0.0421356 2.01918 0.999556 0.000443786
1.06029e-07 0.107263 2.33745 0.997126 0.00287356
1.06386e-07 0.057972 -0.306166 0.99916 0.000839952
1.06743e-07 0.0190173 -3.05932 0.99991 9.04116e-05
1.071e-07 0.043083 0.433407 0.999536 0.000463965
1.07457e-07 0.0584316 -2.30496 0.999147 0.000853321
1.07814e-07 0.0789861 -1.81626 0.998441 0.00155889
1.08171e-07 0.00480196 -1.47485 0.999994 5.76469e-06
1.08528e-07 0.151223 -1.06362 0.994294 0.00570623
1.08885e-07 0.0303094 -0.738337 0.99977 0.000229647
1.09242e-07 0.0810306 2.8012 0.998359 0.00164059
1.09599e-07 0.0420479 0.221392 0.999558 0.000441942
1.09956e-07 0.0976486 -2.54614 0.997618 0.00238192
1.10313e-07 0.0850348 1.087 0.998193 0.00180664
1.1067e-07 0.0156297 -1.92295 0.999939 6.10706e-05
1.11027e-07 0.00235012 -1.61327 0.999999 1.38077e-06
1.11384e-07 0.0438333 -1.13979 0.99952 0.000480264
1.11741e-07 0.0883108 2.35506 0.998052 0.00194843
1.12098e-07 0.0178211 2.88328 0.999921 7.93962e-05
1.12455e-07 0.0303207 0.00621887 0.99977 0.000229819
1.12812e-07 0.0684151 -2.73249 0.99883 0.0011697
1.13169e-07 0.0258252 0.67146 0.999833 0.000166726
1.13526e-07 0.114516 -2.28134 0.996725 0.00327487
1.13883e-07 0.051313 1.17988 0.999342 0.000658112
1.1424e-07 0.00359081 -1.52217 0.999997 3.22348e-06
1.14597e-07 0.0566846 2.07394 0.999197 0.000803071
1.14954e-07 0.0410172 -1.00926 0.999579 0.000420545
1.15311e-07 0.0504336 2.67106 0.999364 0.000635752
1.15668e-07 0.0456677 -0.146122 0.999479 0.000521294
1.16025e-07 0.0130348 0.0692161 0.999958 4.24762e-05
1.16382e-07 0.0866589 0.366431 0.998124 0.00187626
1.16739e-07 0.0483576 -2.22308 0.999415 0.0005845
1.17096e-07 0.0508472 1.27381 0.999354 0.000646221
1.17453e-07 0.0176525 1.62185 0.999922 7.79003e-05
1.1781e-07 0.0827897 1.95497 0.998287 0.00171255
1.18167e-07 0.0817197 -0.777338 0.998331 0.0016686
1.18524e-07 0.0188075 2.52829 0.999912 8.84281e-05
1.18881e-07 0.0345088 -0.0487445 0.999702 0.000297685
1.19238e-07 0.0936868 0.403666 0.997807 0.0021927
1.19595e-07 0.0166841 -2.12514 0.99993 6.95878e-05
1.19952e-07 0.076522 -1.76018 0.998537 0.00146319
1.20309e-07 0.0679923 -1.04579 0.998845 0.00115529
1.20666e-07 0.0773186 2.52061 0.998506 0.0014938
1.21023e-07 0.0349864 -0.216593 0.999694 0.00030598
1.2138e-07 0.00951795 -3.01513 0.999977 2.26477e-05
1.21737e-07 0.0135321 0.664943 0.999954 4.57787e-05
1.22094e-07 0.0795327 0.993693 0.998419 0.00158053
1.22451e-07 0.028841 -1.71263 0.999792 0.000207936
1.22808e-07 0.0698315 -1.43461 0.998781 0.00121861
1.23165e-07 0.0865646 2.04486 0.998128 0.00187219
1.23522e-07 0.0204795 -0.990618 0.999895 0.000104849
1.23879e-07 0.103059 -0.625652 0.997347 0.00265292
1.24236e-07 0.00335752 -0.262286 0.999997 2.81823e-06
1.24593e-07 0.00514061 -2.88585 0.999993 6.60644e-06
1.2495e-07 0.0233686 0.632419 0.999863 0.000136516
1.25307e-07 0.0201113 0.84585 0.999899 0.000101113
1.25664e-07 0.0475242 -1.7723 0.999435 0.000564531
1.26021e-07 0.00355076 1.80258 0.999997 3.15198e-06
1.26378e-07 0.0155725 -0.906759 0.999939 6.06244e-05
1.26735e-07 0.0288891 -0.445491 0.999791 0.00020863
1.27092e-07 0.103792 -0.0818034 0.997309 0.00269079
1.27449e-07 0.120839 0.449956 0.996354 0.00364608
1.27806e-07 0.0611917 -2.33232 0.999064 0.000935813
1.28163e-07 0.0174297 1.12508 0.999924 7.59465e-05
1.2852e-07 0.0314051 -1.57303 0.999753 0.00024655
1.28877e-07 0.0015186 1.87085 0.999999 5.7654e-07
1.29234e-07 0.115816 2.27158 0.99665 0.00334961
1.29591e-07 0.00352062 -0.428179 0.999997 3.09868e-06
1.29948e-07 0.00978495 3.07107 0.999976 2.39361e-05
1.30305e-07 0.0220131 0.0537007 0.999879 0.000121139
1.30662e-07 0.00264635 -2.84368 0.999998 1.75078e-06
1.31019e-07 0.0185235 -2.47564 0.999914 8.57778e-05
1.31376e-07 0.0567143 -1.94926 0.999196 0.000803912
1.31733e-07 0.0109531 -1.7375 0.99997 2.99926e-05
1.3209e-07 0.0370476 1.82835 0.999657 0.000343092
