p N0 N1 N2 N3 estimation xi_exact ECM exact_ECM fisher fisher_exact
0.8051 75 43 41 41 0.454491 0.785398 0.372991 0.148913 0.0134052 0.0335767
0.8101 79 42 48 31 0.70016 0.785398 0.186849 0.156576 0.0267595 0.0319334
0.8201 73 33 40 54 0.291972 0.785398 1.00624 0.173811 0.00496899 0.028767
0.8251 70 36 52 42 1.05232 0.785398 0.124505 0.183528 0.0401589 0.0272437
0.8301 70 40 46 44 0.77799 0.785398 0.196886 0.194095 0.0253954 0.0257605
0.8351 71 42 44 43 0.592969 0.785398 0.324049 0.205615 0.0154298 0.0243173
0.8401 62 37 52 49 1.24701 0.785398 0.125215 0.218205 0.0399313 0.0229142
0.8451 65 48 46 41 0.878759 0.785398 0.197035 0.232005 0.0253761 0.0215512
0.8501 56 39 62 43 1.76708 0.785398 0.132652 0.247178 0.0376926 0.0202283
0.8551 68 37 49 46 0.874267 0.785398 0.225575 0.263913 0.0221656 0.0189457
0.8601 63 40 55 42 1.29096 0.785398 0.156904 0.282434 0.0318666 0.0177033
0.8651 59 41 48 52 1.1236 0.785398 0.189745 0.303008 0.0263511 0.0165012
0.8751 69 38 44 49 0.0862386 0.785398 23.1104 0.351655 0.000216353 0.0142185
0.8801 68 40 56 36 1.10185 0.785398 0.24245 0.380574 0.0206228 0.0131381
0.8951 63 40 56 41 1.25582 0.785398 0.276709 0.492994 0.0180695 0.0101421
0.9001 61 56 53 30 1.17416 0.785398 0.322264 0.54196 0.0155152 0.00922578
0.9051 61 42 54 43 1.21201 0.785398 0.345397 0.598739 0.0144761 0.00835089
0.9151 59 44 47 50 0.762205 0.785398 0.779044 0.743348 0.00641812 0.00672632
0.9201 60 37 53 50 1.13886 0.785398 0.510783 0.836525 0.00978889 0.00597711
0.9351 52 50 51 47 1.49106 0.785398 0.636037 1.25473 0.00786117 0.00398491
0.9401 56 44 52 48 1.23695 0.785398 0.826198 1.46757 0.00605182 0.003407
0.9451 57 45 48 50 0.603248 0.785398 2.69866 1.74051 0.00185277 0.00287271
0.9501 56 52 54 38 1.37834 0.785398 1.09378 2.0987 0.0045713 0.00238243
0.9551 52 59 46 43 0.777885 0.785398 2.62118 2.58193 0.00190754 0.00193653
0.9601 57 46 51 46 0.761267 0.785398 3.42096 3.25638 0.00146158 0.00153545
0.9701 49 44 48 59 1.3923 0.785398 2.97343 5.75029 0.00168156 0.000869521
0.9801 56 52 52 40 0.320439 0.785398 64.8069 12.8674 7.71523e-005 0.000388579
