Temps abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
5.10509e-08 0.731133 0.268867 0.0565625 0.943437 -0.0125119 -0.1968
5.14079e-08 0.702762 0.297238 0.0363514 0.963649 0.0229547 -0.0163156
5.17649e-08 0.682921 0.317079 0.0294603 0.97054 0.0011527 -0.0192066
5.21219e-08 0.625609 0.374391 0.0114588 0.988541 0.0770163 -0.180275
5.24789e-08 0.602022 0.397978 0.014848 0.985152 -0.00298675 -0.176429
5.28359e-08 0.630732 0.369268 0.0228194 0.977181 -0.11619 0.0562069
5.31929e-08 0.607292 0.392708 0.00625698 0.993743 -0.00748157 -0.185363
5.35499e-08 0.590569 0.409431 0.00552495 0.994475 -0.0260993 -0.0167727
5.39069e-08 0.533801 0.466199 0.00163966 0.99836 0.0539268 -0.0559911
5.42639e-08 0.493601 0.506399 0.00582781 0.994172 0.0190328 0.122851
5.46209e-08 0.414793 0.585207 0.00429416 0.995706 0.0991065 -0.129269
5.49779e-08 0.403255 0.596745 0.0260785 0.973922 -0.0380097 0.108731
5.53349e-08 0.408504 0.591496 0.0423019 0.957698 -0.0703413 0.130701
5.56919e-08 0.436915 0.563085 0.0659158 0.934084 -0.113964 -0.023163
5.60489e-08 0.365008 0.634992 0.035049 0.964951 0.0899374 0.0176682
5.64059e-08 0.317425 0.682575 0.0577176 0.942282 0.0441389 -0.162393
5.67629e-08 0.291333 0.708667 0.0857756 0.914224 -0.00317398 -0.00652623
5.71199e-08 0.265345 0.734655 0.1037 0.8963 -0.0018511 -0.0817535
5.74769e-08 0.220581 0.779419 0.108962 0.891038 0.0433987 -0.0300961
5.78339e-08 0.209694 0.790306 0.156348 0.843652 -0.034876 0.0212661
5.81909e-08 0.165298 0.834702 0.146821 0.853179 0.0530084 0.086822
5.85479e-08 0.125268 0.874732 0.168734 0.831266 0.0548169 -0.293517
5.89049e-08 0.0797673 0.920233 0.17984 0.82016 0.088229 -0.194128
5.92619e-08 0.0574106 0.942589 0.229792 0.770208 0.0264585 0.00284379
5.96189e-08 0.0487209 0.951279 0.278397 0.721603 -0.0233698 0.0380716
5.99759e-08 0.0306393 0.969361 0.282164 0.717836 0.0308939 -0.0557164
6.03329e-08 0.00899094 0.991009 0.27875 0.72125 0.100493 0.0390164
6.06899e-08 0.000193584 0.999806 0.304394 0.695606 0.100924 0.326515
