Time abs_alpha2 abs_beta2
1.69218e-07 0.459675 0.533539
1.69575e-07 0.490824 0.502375
1.69932e-07 0.521996 0.47119
1.70289e-07 0.553066 0.440105
1.70646e-07 0.583913 0.409244
1.71003e-07 0.614414 0.378729
1.7136e-07 0.64445 0.348678
1.71717e-07 0.673902 0.319212
1.72074e-07 0.702654 0.290446
1.72431e-07 0.730592 0.262494
1.72788e-07 0.757606 0.235466
1.73145e-07 0.78359 0.209467
1.73502e-07 0.808441 0.184602
1.73859e-07 0.832062 0.160967
1.74216e-07 0.854358 0.138656
1.74573e-07 0.875243 0.117757
1.7493e-07 0.894634 0.0983519
1.75287e-07 0.912454 0.0805176
1.75644e-07 0.928633 0.064324
1.76001e-07 0.943108 0.0498351
1.76358e-07 0.955821 0.0371079
1.76715e-07 0.966722 0.0261924
1.77072e-07 0.975769 0.0171318
1.77429e-07 0.982925 0.00996151
1.77786e-07 0.988162 0.00470986
1.78143e-07 0.99146 0.00139743
1.785e-07 0.992806 3.72044e-05
1.78857e-07 0.992195 0.000634469
1.79214e-07 0.989628 0.00318678
1.79571e-07 0.985117 0.00768399
1.79928e-07 0.978678 0.0141083
1.80285e-07 0.970338 0.0224342
1.80642e-07 0.960129 0.0326289
1.80999e-07 0.948091 0.0446521
1.81356e-07 0.934273 0.0584562
1.81713e-07 0.918728 0.0739868
1.8207e-07 0.901518 0.0911825
1.82427e-07 0.882711 0.109975
1.82784e-07 0.862381 0.130292
1.83141e-07 0.840607 0.15205
1.83498e-07 0.817477 0.175166
1.83855e-07 0.793081 0.199548
1.84212e-07 0.767516 0.225099
1.84569e-07 0.740882 0.251719
1.84926e-07 0.713284 0.279303
1.85283e-07 0.684831 0.307742
1.8564e-07 0.655635 0.336923
1.85997e-07 0.625812 0.366732
1.86354e-07 0.595479 0.397051
1.86711e-07 0.564755 0.42776
1.87068e-07 0.533763 0.458739
1.87425e-07 0.502623 0.489864
1.87782e-07 0.471459 0.521014
1.88139e-07 0.440393 0.552065
1.88496e-07 0.409549 0.582895
1.88853e-07 0.379047 0.613382
1.8921e-07 0.349009 0.643407
1.89567e-07 0.319551 0.67285
1.89924e-07 0.290791 0.701596
1.90281e-07 0.262842 0.729531
1.90638e-07 0.235814 0.756545
1.90995e-07 0.209813 0.782531
1.91352e-07 0.184943 0.807387
1.91709e-07 0.1613 0.831016
1.92066e-07 0.138978 0.853323
1.92423e-07 0.118066 0.874221
1.9278e-07 0.0986451 0.893628
1.93137e-07 0.0807922 0.911467
1.93494e-07 0.0645777 0.927667
1.93851e-07 0.0500654 0.942165
1.94208e-07 0.0373125 0.954903
1.94565e-07 0.0263692 0.965833
1.94922e-07 0.0172785 0.974909
1.95279e-07 0.0100763 0.982097
1.95636e-07 0.00479083 0.987368
1.95993e-07 0.00144286 0.990702
1.9635e-07 4.55132e-05 0.992085
1.96707e-07 0.000604217 0.991512
1.97064e-07 0.00311668 0.988985
1.97421e-07 0.00757292 0.984515
1.97778e-07 0.0139553 0.978118
1.98135e-07 0.0222385 0.969821
1.98492e-07 0.0323898 0.959655
1.98849e-07 0.0443692 0.947662
1.99206e-07 0.0581292 0.933887
1.99563e-07 0.0736156 0.918387
1.9992e-07 0.0907671 0.901221
2.00277e-07 0.109516 0.882458
2.00634e-07 0.129789 0.862171
2.00991e-07 0.151505 0.840441
2.01348e-07 0.174578 0.817353
2.01705e-07 0.198919 0.792998
2.02062e-07 0.22443 0.767473
2.02419e-07 0.251011 0.740877
2.02776e-07 0.278557 0.713317
2.03133e-07 0.30696 0.6849
2.0349e-07 0.336107 0.655739
2.03847e-07 0.365883 0.625948
2.04204e-07 0.396171 0.595646
2.04561e-07 0.426852 0.564951
2.04918e-07 0.457804 0.533984
2.05275e-07 0.488906 0.502868
2.05632e-07 0.520034 0.471726
2.05989e-07 0.551066 0.44068
2.06346e-07 0.581879 0.409852
2.06703e-07 0.612353 0.379365
2.0706e-07 0.642366 0.349337
2.07417e-07 0.6718 0.319889
2.07774e-07 0.70054 0.291135
2.08131e-07 0.728471 0.263189
2.08488e-07 0.755485 0.236161
2.08845e-07 0.781474 0.210158
2.09202e-07 0.806335 0.185282
2.09559e-07 0.829972 0.161632
2.09916e-07 0.852289 0.1393
2.10273e-07 0.873201 0.118374
2.1063e-07 0.892623 0.0989372
2.10987e-07 0.91048 0.081066
2.11344e-07 0.926702 0.0648306
2.11701e-07 0.941223 0.050295
2.12058e-07 0.953987 0.0375165
2.12415e-07 0.964944 0.0265453
2.12772e-07 0.97405 0.0174247
2.13129e-07 0.98127 0.0101906
2.13486e-07 0.986575 0.00487137
2.13842e-07 0.989944 0.00148791
2.14199e-07 0.991365 5.34971e-05
2.14556e-07 0.99083 0.000573694
2.14913e-07 0.988343 0.00304637
2.1527e-07 0.983914 0.00746169
2.15627e-07 0.977559 0.0138022
2.15984e-07 0.969304 0.0220427
2.16341e-07 0.959182 0.0321507
2.16698e-07 0.947232 0.0440863
2.17055e-07 0.933502 0.0578022
2.17412e-07 0.918046 0.0732444
2.17769e-07 0.900924 0.0903518
2.18126e-07 0.882205 0.109057
2.18483e-07 0.861961 0.129286
2.1884e-07 0.840274 0.150959
2.19197e-07 0.817228 0.173991
2.19554e-07 0.792915 0.19829
2.19911e-07 0.76743 0.223761
2.20268e-07 0.740873 0.250303
2.20625e-07 0.71335 0.277811
2.20982e-07 0.684969 0.306178
2.21339e-07 0.655843 0.335291
2.21696e-07 0.626085 0.365035
2.22053e-07 0.595813 0.395292
2.2241e-07 0.565146 0.425944
2.22767e-07 0.534206 0.45687
2.23124e-07 0.503115 0.487948
2.23481e-07 0.471994 0.519054
2.23838e-07 0.440967 0.550067
2.24195e-07 0.410156 0.580863
2.24552e-07 0.379683 0.611323
2.24909e-07 0.349667 0.641324
2.25266e-07 0.320227 0.67075
2.25623e-07 0.291479 0.699484
2.2598e-07 0.263536 0.727412
2.26337e-07 0.236509 0.754425
2.26694e-07 0.210504 0.780416
2.27051e-07 0.185623 0.805283
2.27408e-07 0.161965 0.828927
2.27765e-07 0.139622 0.851255
2.28122e-07 0.118683 0.87218
2.28479e-07 0.0992306 0.891618
2.28836e-07 0.081341 0.909493
2.29193e-07 0.0650847 0.925735
2.2955e-07 0.0505259 0.94028
2.29907e-07 0.0377219 0.95307
2.30264e-07 0.026723 0.964055
2.30621e-07 0.0175725 0.973191
2.30978e-07 0.0103065 0.980442
2.31335e-07 0.00495359 0.985781
2.31692e-07 0.0015347 0.989186
2.32049e-07 6.32671e-05 0.990643
2.32406e-07 0.000545012 0.990147
2.32763e-07 0.00297795 0.9877
2.3312e-07 0.0073524 0.983311
2.33477e-07 0.013651 0.976998
2.33834e-07 0.0218489 0.968786
2.34191e-07 0.0319136 0.958707
2.34548e-07 0.0438055 0.946801
2.34905e-07 0.0574774 0.933115
2.35262e-07 0.0728754 0.917703
2.35619e-07 0.0899387 0.900625
2.35976e-07 0.1086 0.88195
2.36333e-07 0.128786 0.86175
2.3669e-07 0.150416 0.840106
2.37047e-07 0.173405 0.817102
2.37404e-07 0.197663 0.79283
2.37761e-07 0.223094 0.767385
2.38118e-07 0.249597 0.740867
2.38475e-07 0.277068 0.713382
2.38832e-07 0.305399 0.685037
2.39189e-07 0.334477 0.655945
2.39546e-07 0.364188 0.626219
2.39903e-07 0.394415 0.595978
2.4026e-07 0.425039 0.56534
2.40617e-07 0.455938 0.534426
