Noise Level,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,7.16341e-05,0.90096,0.0990398,0.959974,0.0400264
0.01,7.1869e-05,0.89082,0.10918,0.958058,0.0419425
0.01,7.21038e-05,0.868531,0.131469,0.936429,0.0635707
0.01,7.23387e-05,0.845158,0.154842,0.920884,0.079116
0.01,7.25736e-05,0.822908,0.177092,0.905375,0.0946247
0.01,7.28084e-05,0.807556,0.192444,0.892604,0.107396
0.01,7.30433e-05,0.779268,0.220732,0.862028,0.137972
0.01,7.32782e-05,0.751625,0.248375,0.841393,0.158607
0.01,7.3513e-05,0.7256,0.2744,0.820317,0.179683
0.01,7.37479e-05,0.70138,0.29862,0.797937,0.202063
0.01,7.39828e-05,0.673199,0.326801,0.768915,0.231085
0.01,7.42176e-05,0.642715,0.357285,0.740226,0.259774
0.01,7.44525e-05,0.627998,0.372002,0.727433,0.272567
0.01,7.46874e-05,0.590014,0.409986,0.67757,0.32243
0.01,7.49222e-05,0.54917,0.45083,0.645809,0.354191
0.01,7.51571e-05,0.508963,0.491037,0.616694,0.383306
0.01,7.5392e-05,0.493048,0.506952,0.609917,0.390083
0.01,7.56268e-05,0.464666,0.535334,0.566821,0.433179
0.01,7.58617e-05,0.434995,0.565005,0.534155,0.465845
0.01,7.60966e-05,0.407654,0.592346,0.504882,0.495118
0.01,7.63314e-05,0.37676,0.62324,0.469603,0.530397
0.01,7.65663e-05,0.352931,0.647069,0.444998,0.555002
0.01,7.68012e-05,0.318137,0.681863,0.401755,0.598245
0.01,7.7036e-05,0.288095,0.711905,0.37524,0.62476
0.01,7.72709e-05,0.260808,0.739192,0.347032,0.652968
0.01,7.75058e-05,0.242127,0.757873,0.325908,0.674092
0.01,7.77406e-05,0.222688,0.777312,0.295719,0.704281
0.01,7.79755e-05,0.21114,0.78886,0.275671,0.724329
0.01,7.82104e-05,0.178729,0.821271,0.225253,0.774747
0.01,7.84452e-05,0.165441,0.834559,0.218693,0.781307
0.01,7.86801e-05,0.136242,0.863758,0.17508,0.82492
0.01,7.8915e-05,0.12279,0.87721,0.16697,0.83303
0.01,7.91498e-05,0.102977,0.897023,0.135782,0.864218
0.01,7.93847e-05,0.0885118,0.911488,0.118891,0.881109
0.01,7.96196e-05,0.0756837,0.924316,0.0997419,0.900258
0.01,7.98544e-05,0.0611797,0.93882,0.0783568,0.921643
0.01,8.00893e-05,0.0476382,0.952362,0.0612659,0.938734
0.01,8.03242e-05,0.0395228,0.960477,0.0510546,0.948945
0.01,8.0559e-05,0.0311176,0.968882,0.036128,0.963872
0.01,8.07939e-05,0.0247853,0.975215,0.0254575,0.974542
0.01,8.10288e-05,0.0189103,0.98109,0.015204,0.984796
0.01,8.12636e-05,0.0196209,0.980379,0.0117927,0.988207
0.01,8.14985e-05,0.0206589,0.979341,0.00554112,0.994459
0.01,8.17334e-05,0.0200162,0.979984,0.0013134,0.998687
0.01,8.19682e-05,0.0244361,0.975564,0.00111316,0.998887
0.01,8.22031e-05,0.0292993,0.970701,0.00152266,0.998477
0.01,8.24379e-05,0.0337204,0.96628,0.00344247,0.996558
0.01,8.26728e-05,0.0410185,0.958981,0.00825857,0.991741
0.01,8.29077e-05,0.0528333,0.947167,0.0162043,0.983796
0.01,8.31425e-05,0.0710392,0.928961,0.0277929,0.972207
0.01,8.33774e-05,0.0861339,0.913866,0.0349219,0.965078
0.01,8.36123e-05,0.102978,0.897022,0.0473749,0.952625
0.01,8.38471e-05,0.128273,0.871727,0.066999,0.933001
0.01,8.4082e-05,0.1362,0.8638,0.0688394,0.931161
0.01,8.43169e-05,0.157102,0.842898,0.0948598,0.90514
0.01,8.45517e-05,0.172586,0.827414,0.108054,0.891946
0.01,8.47866e-05,0.20726,0.79274,0.144515,0.855485
0.01,8.50215e-05,0.23252,0.76748,0.157082,0.842918
0.01,8.52563e-05,0.251833,0.748167,0.174202,0.825798
0.01,8.54912e-05,0.271633,0.728367,0.198461,0.801539
0.01,8.57261e-05,0.301204,0.698796,0.232712,0.767288
0.01,8.59609e-05,0.334805,0.665195,0.262487,0.737513
0.01,8.61958e-05,0.355855,0.644145,0.277845,0.722155
0.01,8.64307e-05,0.376601,0.623399,0.30629,0.69371
0.01,8.66655e-05,0.405932,0.594068,0.343713,0.656287
