Time abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
5.96189e-08 0.725237 0.274763 0.224076 0.775924 -0.00358928 0.188634
5.99759e-08 0.711588 0.288412 0.213288 0.786712 0.0819659 -0.0721053
6.03329e-08 0.687602 0.312398 0.230815 0.769185 0.100454 -0.0188651
6.06899e-08 0.681099 0.318901 0.275376 0.724624 0.0605479 0.17256
6.10469e-08 0.716194 0.283806 0.342653 0.657347 -0.0239695 0.0115608
6.14039e-08 0.764473 0.235527 0.388322 0.611678 -0.0578348 -0.0108249
6.17609e-08 0.776221 0.223779 0.379324 0.620676 0.0233274 0.160124
6.21179e-08 0.765456 0.234544 0.380984 0.619016 0.0813706 0.0168652
6.24749e-08 0.826119 0.173881 0.498158 0.501842 -0.0951878 -0.0729241
6.28319e-08 0.850124 0.149876 0.484331 0.515669 -0.0126613 -0.287813
6.31889e-08 0.882826 0.117174 0.5378 0.4622 -0.0576587 0.062231
6.35459e-08 0.907511 0.092489 0.560637 0.439363 -0.0417427 0.0439217
6.39029e-08 0.92925 0.0707501 0.591598 0.408402 -0.0417613 0.152622
6.42598e-08 0.949034 0.0509662 0.621893 0.378107 -0.0415875 0.0860581
6.46168e-08 0.956674 0.043326 0.628952 0.371048 0.00505144 0.00128281
6.49738e-08 0.948743 0.0512568 0.626023 0.373977 0.0730257 0.0609986
6.53308e-08 0.965785 0.0342149 0.713548 0.286452 -0.0520521 0.0218424
6.56878e-08 0.967423 0.0325774 0.710369 0.289631 0.0173537 0.123784
6.60448e-08 0.980154 0.0198462 0.767042 0.232958 -0.0556124 -0.215908
6.64018e-08 0.988399 0.0116013 0.795665 0.204335 -0.0669438 -0.131921
6.67588e-08 0.993782 0.00621821 0.823002 0.176998 -0.080824 -0.194846
6.71158e-08 0.9941 0.0059001 0.833678 0.166322 -0.0499888 -0.0382604
6.74728e-08 0.985716 0.0142842 0.824585 0.175415 0.0309788 -0.116518
6.78298e-08 0.981852 0.0181482 0.866488 0.133512 -0.0297387 -0.138297
6.81868e-08 0.971076 0.0289238 0.870933 0.129067 0.00899831 -0.215077
6.85438e-08 0.955112 0.0448875 0.885973 0.114027 0.0226799 0.0995011
6.89008e-08 0.922848 0.0771523 0.8874 0.1126 0.0730958 -0.0647339
6.92578e-08 0.865731 0.134269 0.888436 0.111564 0.124684 -0.0308315
6.96148e-08 0.850259 0.149741 0.943958 0.0560424 -0.0182497 0.221755
6.99718e-08 0.887356 0.112644 0.981327 0.0186725 -0.172436 -0.0709657
7.03288e-08 0.862377 0.137623 0.960405 0.0395952 0.0128296 0.318975
7.06858e-08 0.849577 0.150423 0.974252 0.0257484 -0.0223527 -0.0508965
7.10428e-08 0.814928 0.185072 0.970929 0.0290706 0.0326261 -0.0902509
7.13998e-08 0.816541 0.183459 0.98904 0.0109604 -0.0659022 0.0863605
7.17568e-08 0.736842 0.263158 0.962324 0.0376763 0.131375 -0.0387636
7.21138e-08 0.708412 0.291588 0.982903 0.0170968 0.00212506 -0.126088
7.24708e-08 0.744046 0.255954 0.995013 0.00498733 -0.142562 -0.146539
7.28278e-08 0.676431 0.323569 0.960221 0.0397788 0.0865672 0.0103856
7.31848e-08 0.618371 0.381629 0.956462 0.0435376 0.058874 -0.189444
7.35418e-08 0.57105 0.42895 0.953167 0.0468328 0.0353788 0.0726443
7.38988e-08 0.559797 0.440203 0.957886 0.0421138 -0.0392799 -0.118684
7.42558e-08 0.500859 0.499141 0.923386 0.0766143 0.057804 -0.00818935
7.46128e-08 0.551221 0.448779 0.961818 0.0381822 -0.161126 0.0466375
7.49698e-08 0.489777 0.510223 0.894091 0.105909 0.0620757 0.247482
7.53268e-08 0.458135 0.541865 0.896091 0.103909 0.000561514 0.0616477
7.56838e-08 0.420687 0.579313 0.872815 0.127185 0.0127964 -0.149031
7.60408e-08 0.366075 0.633925 0.840542 0.159458 0.0492505 0.0892764
7.63978e-08 0.297562 0.702438 0.808213 0.191787 0.0828668 0.252018
7.67548e-08 0.270001 0.729999 0.818661 0.181339 0.000496264 0.153992
7.71118e-08 0.174597 0.825403 0.720754 0.279246 0.173512 -0.0552845
7.74688e-08 0.137551 0.862449 0.752749 0.247251 0.0441666 0.144271
7.78258e-08 0.152335 0.847665 0.788476 0.211524 -0.0950724 0.248175
7.81828e-08 0.18659 0.81341 0.778236 0.221764 -0.132617 -0.150628
7.85398e-08 0.10717 0.89283 0.607687 0.392313 0.180193 0.0251841
7.88968e-08 0.0976083 0.902392 0.67163 0.32837 -0.0113028 0.131035
7.92538e-08 0.0745656 0.925434 0.613283 0.386717 0.0494051 -0.0157981
7.96108e-08 0.0288395 0.971161 0.51761 0.48239 0.182663 0.0511071
7.99678e-08 0.0106267 0.989373 0.519861 0.480139 0.116246 -0.0750728
8.03248e-08 0.01957 0.98043 0.589135 0.410865 -0.0826248 0.0899464
8.06818e-08 0.0179826 0.982017 0.504526 0.495474 0.0250436 -0.139905
8.10388e-08 0.0359344 0.964066 0.533011 0.466989 -0.0947861 -0.223259
8.13958e-08 0.0516954 0.948305 0.487442 0.512558 -0.0623247 0.123
8.17528e-08 0.0603225 0.939677 0.43071 0.56929 -0.00784437 0.0890399
8.21098e-08 0.0663236 0.933676 0.388979 0.611021 0.0147847 -0.108658
8.24668e-08 0.071727 0.928273 0.360168 0.639832 0.0169254 0.171551
8.28238e-08 0.0745417 0.925458 0.321053 0.678947 0.0383279 -0.0231369
8.31808e-08 0.101236 0.898764 0.331394 0.668606 -0.0440191 0.0265126
8.35378e-08 0.0744869 0.925513 0.219402 0.780598 0.147948 0.0383905
8.38948e-08 0.0709497 0.92905 0.227453 0.772547 0.0693622 0.0589091
8.42518e-08 0.081491 0.918509 0.223797 0.776203 0.0185808 0.0331234
8.46088e-08 0.107631 0.892369 0.221412 0.778588 -0.0298161 0.224024
8.49658e-08 0.0825246 0.917475 0.130567 0.869433 0.1484 -0.181386
8.53228e-08 0.0542616 0.945738 0.106632 0.893368 0.173525 0.325461
8.56798e-08 0.0690632 0.930937 0.143908 0.856092 0.000914714 -0.0685509
8.60368e-08 0.0928184 0.907182 0.131292 0.868708 -0.0245251 -0.244896
8.63938e-08 0.114796 0.885204 0.109116 0.890884 -0.0108858 0.0950285
8.67508e-08 0.133255 0.866745 0.0886485 0.911352 0.00635455 0.147578
8.71078e-08 0.101931 0.898069 0.0383085 0.961692 0.160204 -0.0775551
8.74648e-08 0.173947 0.826053 0.101573 0.898427 -0.147778 -0.0108572
8.78218e-08 0.203243 0.796757 0.0509412 0.949059 -0.012214 -0.21292
8.81788e-08 0.258097 0.741903 0.0519317 0.948068 -0.069651 -0.100917
8.85358e-08 0.236543 0.763457 0.0148614 0.985139 0.109066 0.153869
8.88928e-08 0.250333 0.749667 0.0197749 0.980225 0.0296219 -0.119697
8.92498e-08 0.336879 0.663121 0.0419037 0.958096 -0.1304 -0.0274583
8.96068e-08 0.307527 0.692473 0.00512385 0.994876 0.122558 -0.0477504
8.99638e-08 0.347887 0.652113 0.0221936 0.977806 -0.0271239 -0.00102875
9.03208e-08 0.352259 0.647741 0.014012 0.985988 0.0498678 -0.0884437
9.06778e-08 0.371393 0.628607 0.0211907 0.978809 0.0172642 -0.203435
9.10348e-08 0.418582 0.581418 0.0395016 0.960498 -0.0456543 0.0774334
9.13918e-08 0.394342 0.605658 0.0228489 0.977151 0.103179 0.138548
9.17488e-08 0.433072 0.566928 0.056121 0.943879 -0.02078 0.00611897
9.21058e-08 0.513707 0.486293 0.0939521 0.906048 -0.103566 0.420241
9.24628e-08 0.5278 0.4722 0.070911 0.929089 0.0345464 0.0189144
9.28198e-08 0.571717 0.428283 0.103258 0.896742 -0.0255936 -0.000394394
9.31768e-08 0.593912 0.406088 0.107955 0.892045 0.0176882 0.0961324
9.35338e-08 0.553219 0.446781 0.0878286 0.912171 0.144398 0.0789258
9.38908e-08 0.643291 0.356709 0.198569 0.801431 -0.122884 -0.110122
9.42478e-08 0.721936 0.278064 0.213683 0.786317 -0.106939 -0.177099
9.46048e-08 0.712856 0.287144 0.159445 0.840555 0.082856 -0.294693
9.49618e-08 0.789448 0.210552 0.266346 0.733654 -0.11877 0.116048
9.53188e-08 0.786792 0.213208 0.213744 0.786256 0.0673087 0.285474
9.56758e-08 0.806139 0.193861 0.26283 0.73717 0.0146872 0.274184
9.60328e-08 0.847273 0.152727 0.318124 0.681876 -0.0490989 -0.0729391
9.63898e-08 0.908332 0.0916683 0.37987 0.62013 -0.127074 -0.299047
9.67468e-08 0.933379 0.0666213 0.357521 0.642479 -0.0303459 -0.345084
9.71038e-08 0.977352 0.022648 0.451047 0.548953 -0.162388 -0.0694597
9.74608e-08 0.979263 0.0207369 0.381042 0.618958 0.0400868 0.00117983
9.78178e-08 0.975211 0.024789 0.392982 0.607018 0.0755953 -0.0201088
9.81748e-08 0.995738 0.00426244 0.53165 0.46835 -0.144726 -0.0856429
9.85318e-08 0.99997 3.00489e-05 0.539235 0.460765 -0.101222 -0.0851639
9.88888e-08 0.999997 3.4408e-06 0.553051 0.446949 -0.0683555 0.0145557
9.92458e-08 0.999412 0.000587503 0.555032 0.444968 -0.0111673 0.0522834
9.96028e-08 0.996338 0.00366154 0.572834 0.427166 0.00957125 -0.16438
9.99598e-08 0.99613 0.00387049 0.636958 0.363042 -0.059106 0.205814
1.00317e-07 0.982108 0.017892 0.598139 0.401861 0.0811068 0.00457441
1.00674e-07 0.980365 0.0196348 0.687197 0.312803 -0.0498938 -0.203966
1.01031e-07 0.975149 0.0248514 0.704626 0.295374 -0.026943 0.0527498
1.01388e-07 0.97154 0.0284596 0.736466 0.263534 -0.0403621 -0.0988956
1.01745e-07 0.945529 0.0544706 0.71419 0.28581 0.0698431 0.0390337
1.02102e-07 0.951573 0.0484272 0.808068 0.191932 -0.0899989 0.112028
1.02459e-07 0.965086 0.0349138 0.845108 0.154892 -0.130677 -0.0741324
1.02816e-07 0.959103 0.040897 0.830472 0.169528 -0.0314583 0.0433561
1.03173e-07 0.964218 0.0357824 0.870597 0.129403 -0.089518 -0.120736
1.0353e-07 0.976062 0.0239385 0.901582 0.0984181 -0.132421 -0.0809903
1.03887e-07 0.960672 0.0393281 0.867236 0.132764 0.0265822 -0.148356
1.04244e-07 0.936912 0.0630879 0.875976 0.124024 0.0481268 -0.201873
1.04601e-07 0.918476 0.0815236 0.905535 0.0944647 0.0145098 0.323873
1.04958e-07 0.861776 0.138224 0.891592 0.108408 0.120173 0.231792
1.05315e-07 0.853584 0.146416 0.947386 0.0526136 -0.038784 -0.0638482
1.05672e-07 0.859962 0.140038 0.966114 0.0338856 -0.0808984 0.0517073
1.06029e-07 0.820492 0.179508 0.948753 0.0512474 0.0454896 -0.100625
1.06386e-07 0.771359 0.228641 0.953004 0.0469959 0.0592763 -0.126927
1.06743e-07 0.78596 0.21404 0.985585 0.0144153 -0.0975947 0.134778
1.071e-07 0.755891 0.244109 0.972629 0.0273715 0.00876764 -0.127308
1.07457e-07 0.742525 0.257475 0.98033 0.0196704 -0.0316527 -0.00266349
1.07814e-07 0.692872 0.307128 0.967415 0.0325846 0.0479099 -0.0142612
1.08171e-07 0.642821 0.357179 0.965248 0.0347517 0.0439205 -0.0771187
1.08528e-07 0.571178 0.428822 0.950471 0.0495292 0.0851231 -0.227882
1.08885e-07 0.511961 0.488039 0.95195 0.0480497 0.0613886 0.169383
1.09242e-07 0.54127 0.45873 0.977993 0.0220074 -0.119688 -0.0292591
1.09599e-07 0.440124 0.559876 0.913559 0.0864415 0.142156 0.0907663
1.09956e-07 0.390784 0.609216 0.931042 0.0689583 0.0383806 0.149884
1.10313e-07 0.401882 0.598118 0.948127 0.0518729 -0.085474 -0.0840345
1.1067e-07 0.370811 0.629189 0.912293 0.0877066 0.00144228 -0.109827
1.11027e-07 0.408 0.592 0.939024 0.0609759 -0.13744 0.402867
1.11384e-07 0.341616 0.658384 0.859997 0.140003 0.0753622 0.0180914
1.11741e-07 0.282894 0.717106 0.845043 0.154957 0.0651837 0.13794
1.12098e-07 0.213312 0.786688 0.809535 0.190465 0.10219 0.013432
1.12455e-07 0.125625 0.874375 0.755226 0.244774 0.176871 0.0278854
1.12812e-07 0.0812661 0.918734 0.769445 0.230555 0.089004 0.140926
1.13169e-07 0.0798622 0.920138 0.806178 0.193822 -0.0466619 0.402408
1.13526e-07 0.116116 0.883884 0.823333 0.176667 -0.152258 -0.117461
1.13883e-07 0.11044 0.88956 0.744175 0.255825 -0.0140696 0.19635
1.1424e-07 0.117947 0.882053 0.727961 0.272039 -0.0401094 -0.312639
1.14597e-07 0.0990183 0.900982 0.667499 0.332501 0.0304336 -0.0788575
1.14954e-07 0.09002 0.90998 0.65405 0.34595 -0.000130666 0.0559686
1.15311e-07 0.0926381 0.907362 0.640197 0.359803 -0.0322362 -0.0546887
1.15668e-07 0.076985 0.923015 0.579236 0.420764 0.0348961 0.112346
1.16025e-07 0.0577612 0.942239 0.534349 0.465651 0.0679968 0.141392
1.16382e-07 0.0645704 0.93543 0.553116 0.446884 -0.0216233 0.319686
1.16739e-07 0.0600464 0.939954 0.489086 0.510914 0.0506683 0.196143
1.17096e-07 0.0709286 0.929071 0.484923 0.515077 0.00163744 0.144774
1.17453e-07 0.0605916 0.939408 0.408767 0.591233 0.0953245 0.0424386
1.1781e-07 0.0553607 0.944639 0.386635 0.613365 0.0787641 -0.0977431
1.18167e-07 0.0775328 0.922467 0.414737 0.585263 -0.0342858 0.198309
1.18524e-07 0.0763694 0.923631 0.336742 0.663258 0.0649753 -0.123547
1.18881e-07 0.107125 0.892875 0.362379 0.637621 -0.0481165 0.0449386
1.19238e-07 0.154828 0.845172 0.34889 0.65111 -0.0817266 -0.113441
1.19595e-07 0.17612 0.82388 0.282949 0.717051 0.000992958 0.0355091
1.19952e-07 0.217068 0.782932 0.278045 0.721955 -0.0436739 0.17259
1.20309e-07 0.218138 0.781862 0.210457 0.789543 0.059567 0.194119
