Noise Level,Repetition,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,5.60489e-08,0.0356108,0.964389,0.052179,0.947821
0.01,0,5.64059e-08,0.0455826,0.954417,0.0661123,0.933888
0.01,0,5.67629e-08,0.0631226,0.936877,0.0889116,0.911088
0.01,0,5.71199e-08,0.0777546,0.922245,0.100878,0.899122
0.01,0,5.74769e-08,0.081485,0.918515,0.106427,0.893573
0.01,0,5.78339e-08,0.101191,0.898809,0.145339,0.854661
0.01,0,5.81909e-08,0.11981,0.88019,0.164332,0.835668
0.01,0,5.85479e-08,0.140173,0.859827,0.18791,0.81209
0.01,0,5.89049e-08,0.166293,0.833707,0.217499,0.782501
0.01,0,5.92619e-08,0.185261,0.814739,0.233585,0.766415
0.01,0,5.96189e-08,0.207386,0.792614,0.263064,0.736936
0.01,0,5.99759e-08,0.230016,0.769984,0.290566,0.709434
0.01,0,6.03329e-08,0.250627,0.749373,0.315917,0.684083
0.01,0,6.06899e-08,0.284259,0.715741,0.35937,0.64063
0.01,0,6.10469e-08,0.317672,0.682328,0.38836,0.61164
0.01,0,6.14039e-08,0.337698,0.662302,0.404351,0.595649
0.01,0,6.17609e-08,0.36804,0.63196,0.445606,0.554394
0.01,0,6.21179e-08,0.404078,0.595922,0.483064,0.516936
0.01,0,6.24749e-08,0.428792,0.571208,0.502012,0.497988
0.01,0,6.28319e-08,0.444107,0.555893,0.524306,0.475694
0.01,0,6.31889e-08,0.45558,0.54442,0.55188,0.44812
0.01,0,6.35459e-08,0.48242,0.51758,0.598294,0.401706
0.01,0,6.39029e-08,0.503635,0.496365,0.623473,0.376527
0.01,0,6.42598e-08,0.540631,0.459369,0.668158,0.331842
0.01,0,6.46168e-08,0.547895,0.452105,0.669778,0.330222
0.01,0,6.49738e-08,0.582344,0.417656,0.724498,0.275502
0.01,0,6.53308e-08,0.613614,0.386386,0.749702,0.250298
0.01,0,6.56878e-08,0.640785,0.359215,0.772978,0.227022
0.01,0,6.60448e-08,0.674099,0.325901,0.804666,0.195334
0.01,0,6.64018e-08,0.710101,0.289899,0.831373,0.168627
0.01,0,6.67588e-08,0.734324,0.265676,0.845722,0.154278
0.01,0,6.71158e-08,0.754817,0.245183,0.865483,0.134517
0.01,0,6.74728e-08,0.778563,0.221437,0.889363,0.110637
0.01,0,6.78298e-08,0.789909,0.210091,0.899656,0.100344
0.01,0,6.81868e-08,0.798399,0.201601,0.916064,0.0839363
0.01,0,6.85438e-08,0.823229,0.176771,0.943418,0.0565818
0.01,0,6.89008e-08,0.831754,0.168246,0.948187,0.0518132
0.01,0,6.92578e-08,0.851093,0.148907,0.966874,0.0331264
0.01,0,6.96148e-08,0.856471,0.143529,0.971691,0.0283092
0.01,0,6.99718e-08,0.873006,0.126994,0.985428,0.0145715
0.01,0,7.03288e-08,0.883112,0.116888,0.990532,0.0094685
0.01,0,7.06858e-08,0.903059,0.0969408,0.997609,0.00239146
0.01,0,7.10428e-08,0.914695,0.0853046,0.999207,0.000792587
0.01,0,7.13998e-08,0.916847,0.0831529,0.999729,0.000270687
0.01,0,7.17568e-08,0.9208,0.0792002,0.99928,0.000719607
0.01,0,7.21138e-08,0.933172,0.0668279,0.998489,0.00151072
0.01,0,7.24708e-08,0.935317,0.0646831,0.99258,0.00741992
0.01,0,7.28278e-08,0.935956,0.0640443,0.986486,0.0135141
0.01,0,7.31848e-08,0.939226,0.0607739,0.980671,0.0193294
0.01,0,7.35418e-08,0.944889,0.0551108,0.974041,0.0259593
0.01,0,7.38988e-08,0.940508,0.059492,0.95653,0.0434703
0.01,0,7.42558e-08,0.932434,0.0675663,0.940931,0.0590693
0.01,0,7.46128e-08,0.924677,0.0753232,0.927911,0.0720889
0.01,0,7.49698e-08,0.911604,0.0883963,0.907611,0.0923894
0.01,0,7.53268e-08,0.90175,0.0982497,0.894106,0.105894
0.01,0,7.56838e-08,0.886817,0.113183,0.870725,0.129275
0.01,0,7.60408e-08,0.864627,0.135373,0.844028,0.155972
0.01,0,7.63978e-08,0.857042,0.142958,0.838425,0.161575
0.01,0,7.67548e-08,0.842114,0.157886,0.80722,0.19278
0.01,0,7.71118e-08,0.829223,0.170777,0.784724,0.215276
0.01,0,7.74688e-08,0.816636,0.183364,0.759322,0.240678
0.01,0,7.78258e-08,0.803482,0.196518,0.731604,0.268396
0.01,0,7.81828e-08,0.787216,0.212784,0.700616,0.299384
0.01,0,7.85398e-08,0.76659,0.23341,0.667406,0.332594
0.01,0,7.88968e-08,0.748295,0.251705,0.641485,0.358515
0.01,0,7.92538e-08,0.72199,0.27801,0.60343,0.39657
0.01,0,7.96108e-08,0.701638,0.298362,0.579875,0.420125
0.01,0,7.99678e-08,0.670883,0.329117,0.538497,0.461503
0.01,0,8.03248e-08,0.646151,0.353849,0.514196,0.485804
0.01,0,8.06818e-08,0.619149,0.380851,0.480912,0.519088
0.01,0,8.10388e-08,0.599161,0.400839,0.457126,0.542874
0.01,0,8.13958e-08,0.562058,0.437942,0.410203,0.589797
0.01,0,8.17528e-08,0.532129,0.467871,0.386816,0.613184
0.01,0,8.21098e-08,0.494301,0.505699,0.349345,0.650655
0.01,0,8.24668e-08,0.472874,0.527126,0.334924,0.665076
0.01,0,8.28238e-08,0.434053,0.565947,0.289763,0.710237
0.01,0,8.31808e-08,0.395618,0.604382,0.261867,0.738133
0.01,0,8.35378e-08,0.383435,0.616565,0.256998,0.743002
0.01,0,8.38948e-08,0.37641,0.62359,0.234293,0.765707
